Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID21240,21240,70,0.583,286.393,519.192,0,562,562,12.500,1,-10921639,5.039,4,0,23,2867,3.876,18.996,0.325,0.638
ID21281,21281,70,0.511,283.012,525.190,0,563,563,12.500,1,-10921639,5.265,5,0,17,2996,3.544,28.654,0.360,0.787
ID21512,21512,70,0.663,279.595,523.186,0,564,564,12.500,1,-10921639,5.188,5,0,20,2952,3.919,42.002,0.381,0.730
ID21477,21477,70,0.582,275.421,523.685,0,565,565,12.500,1,-10921639,4.824,4,0,19,2745,3.519,34.274,0.358,0.722
ID21550,21550,70,0.655,266.144,525.605,0,566,566,12.500,1,-10921639,4.954,4,0,18,2819,3.605,34.879,0.379,0.755
ID21705,21705,70,0.670,262.235,527.517,0,567,567,12.500,1,-10921639,5.074,4,0,20,2887,3.671,34.372,0.399,0.789
ID21745,21745,70,0.695,255.891,526.417,0,568,568,12.500,1,-10921639,5.049,4,0,16,2873,3.190,41.511,0.449,0.981
ID21665,21665,70,0.676,253.050,526.322,0,569,569,12.500,1,-10921639,4.982,4,0,18,2835,3.328,39.988,0.393,0.845
ID21587,21587,70,0.731,249.468,525.907,0,570,570,12.500,1,-10921639,5.450,5,0,18,3101,3.509,41.753,0.393,0.877
ID21627,21627,70,0.762,242.968,528.253,0,571,571,12.500,1,-10921639,5.691,5,0,21,3238,3.706,38.723,0.400,0.877
ID21783,21783,70,0.579,239.290,530.108,0,572,572,12.500,1,-10921639,5.230,5,0,25,2976,3.858,35.257,0.317,0.653
ID21822,21822,70,0.671,231.272,533.728,0,573,573,12.500,1,-10921639,5.494,5,0,19,3126,4.039,30.537,0.388,0.760
ID21860,21860,70,0.632,227.515,533.506,0,574,574,12.500,1,-10921639,5.288,4,0,18,3009,4.164,31.892,0.382,0.703
ID22019,22019,70,0.613,221.939,535.374,0,575,575,12.500,1,-10921639,5.232,4,0,16,2977,3.819,47.500,0.375,0.748
ID22061,22061,70,0.668,214.345,535.917,0,576,576,12.500,1,-10921639,5.383,4,0,25,3063,4.406,45.691,0.403,0.702
ID21901,21901,70,0.710,211.607,535.347,0,577,577,12.500,1,-10921639,5.351,4,0,24,3045,4.542,38.953,0.375,0.643
ID21979,21979,70,0.717,210.923,536.282,0,578,578,12.500,1,-10921639,5.408,4,0,25,3077,4.568,38.893,0.368,0.637
ID21939,21939,70,0.699,206.966,538.232,0,579,579,12.500,1,-10921639,4.991,4,0,21,2840,4.347,38.809,0.390,0.644
ID22144,22144,70,0.705,204.255,540.307,0,580,580,12.500,1,-10921639,5.130,4,0,24,2919,4.508,37.770,0.391,0.640
ID22102,22102,70,0.866,203.924,543.429,0,581,581,12.500,1,-10921639,6.065,5,0,33,3451,5.411,34.137,0.411,0.653
ID22269,22269,70,0.802,200.641,544.915,0,582,582,12.500,1,-10921639,5.967,5,0,27,3395,4.969,34.261,0.379,0.660
ID22309,22309,70,0.761,198.379,546.659,0,583,583,12.500,1,-10921639,5.754,5,0,26,3274,4.964,34.555,0.383,0.642
ID22387,22387,70,0.726,198.836,548.837,0,584,584,12.500,1,-10921639,5.520,4,0,31,3141,4.822,30.909,0.379,0.629
ID22186,22186,70,0.729,195.735,549.431,0,585,585,12.500,1,-10921639,5.831,5,0,28,3318,4.687,34.903,0.374,0.677
