LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID11094,11094,12,0.212712169,480.5813515,666.3047586,0,0,0,22.5,1,,1.273514137,0,0,15,2207,2.24770274,0.790127229,0.500158923
ID11227,11227,12,0.220748544,484.2454194,665.3744118,0,1,1,22.5,1,,1.271206001,0,0,13,2203,2.092344616,0.84825143,0.557668692
ID11039,11039,12,0.234192193,486.4747087,665.0247051,0,2,2,22.5,1,,1.31390652,0,0,16,2277,2.363995089,0.864365249,0.515364136
ID11148,11148,12,0.22598058,488.8300102,665.9467999,0,3,3,22.5,1,,1.270051933,0,0,18,2201,2.348604777,0.897759472,0.511635139
ID11066,11066,12,0.249065101,492.0536921,666.5101376,0,4,4,22.5,1,,1.457587998,0,0,20,2526,2.605524943,0.830690021,0.507684288
ID11201,11201,12,0.2138201,495.7555232,668.1276485,0,5,5,22.5,1,,1.204847086,0,0,17,2088,2.277548731,0.827728609,0.479148911
ID11122,11122,12,0.228669226,497.6655035,667.8927733,0,6,6,22.5,1,,1.321984997,0,0,15,2291,2.369739509,0.810614499,0.499510114
ID11175,11175,12,0.243660688,500.3999141,667.4120061,0,7,7,22.5,1,,1.351990767,0,0,19,2343,2.46045932,0.821668067,0.49569518
ID11386,11386,12,0.244450986,500.8234379,667.0994358,0,8,8,22.5,1,,1.374495095,0,0,22,2382,2.477141769,0.849145321,0.509604561
ID11255,11255,12,0.257950664,502.7960518,667.5751384,0,9,9,22.5,1,,1.429890364,0,0,22,2478,2.675775737,0.838733892,0.487515395
ID11307,11307,12,0.26700449,504.4612483,668.6405774,0,10,10,22.5,1,,1.464512406,0,0,20,2538,2.648703059,0.807417277,0.494002772
ID11359,11359,12,0.222005248,503.2242031,668.2703912,0,11,11,22.5,1,,1.345066359,0,0,24,2331,2.247869188,0.799438342,0.531680431
ID11333,11333,12,0.221158624,502.1264957,669.1811075,0,12,12,22.5,1,,1.354298904,0,0,14,2347,2.208588693,0.789733585,0.541155277
ID11282,11282,12,0.233876646,496.8959116,667.0609213,0,13,13,22.5,1,,1.309867282,0,0,15,2270,2.180720857,0.77301977,0.523762301
ID11436,11436,12,0.187021434,498.1016741,660.2193701,0,14,14,22.5,1,,1.132140796,0,0,13,1962,2.050001374,0.753834913,0.474748739
ID11411,11411,12,0.192878485,496.2539283,653.9442316,0,15,15,22.5,1,,1.168493941,0,0,12,2025,1.951904348,0.810155009,0.535858698
ID11462,11462,12,0.199671507,500.7330641,649.7722122,0,16,16,22.5,1,,1.290825159,0,0,10,2237,2.063571664,0.730080428,0.527937211
ID11510,11510,12,0.193158984,501.5032122,646.5822328,0,17,17,22.5,1,,1.170225043,0,0,13,2028,2.063761842,0.778654667,0.496470057
