LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID924263,924263,0,1.832455635,837.3380209,406.6918246,0,2,2,12.5,1,,11.4745167,10,0,37,6529,7.437992556,0.706193523,1.27703882
ID924288,924288,0,2.13287735,839.1876291,406.0284168,0,3,3,12.5,1,,14.17398946,12,0,42,8065,8.263249608,0.651761553,1.353669408
ID924145,924145,0,2.0039711,845.1784799,409.4087458,0,5,5,12.5,1,,13.83128295,13,0,41,7870,7.571234848,0.649646607,1.438838336
ID924238,924238,0,2.428807259,846.0940324,409.7735104,0,6,6,12.5,1,,18.22319859,16,0,47,10369,8.698859989,0.589176808,1.553337002
ID924167,924167,0,2.285758018,847.2586986,409.4445801,0,7,7,12.5,1,,16.29525483,15,0,50,9272,8.383879273,0.619586986,1.487113598
ID924311,924311,0,2.252531052,848.6139402,409.753391,0,8,8,12.5,1,,16.19683656,15,0,46,9216,8.46907738,0.629905532,1.478213224
ID924333,924333,0,1.680913925,851.6126712,417.3282817,0,11,11,12.5,1,,11.07029877,10,0,38,6299,6.581716573,0.70440504,1.390272096
ID924402,924402,0,1.748116493,853.8156012,417.177591,0,12,12,12.5,1,,11.92442882,10,0,34,6785,6.659440831,0.671471737,1.438661153
ID924492,924492,0,1.717735291,870.5538965,423.3756422,0,16,16,12.5,1,,10.9086116,9,0,37,6207,7.339988847,0.694573534,1.218321438
ID924585,924585,0,1.903808594,872.0976506,423.742218,0,17,17,12.5,1,,12.55360281,11,0,39,7143,7.416983641,0.686009918,1.377340531
ID924537,924537,0,1.782598495,879.9621822,425.9858841,0,19,19,12.5,1,,12.02108963,11,0,37,6840,7.11719636,0.69046106,1.379745234
ID924561,924561,0,1.604310513,880.738779,428.7957671,0,20,20,12.5,1,,10.89806678,10,0,32,6201,6.276224962,0.720355622,1.454151574
ID924756,924756,0,1.600055695,894.4744706,452.8151625,0,29,29,12.5,1,,10.08260105,8,0,31,5737,6.361071881,0.762187536,1.371140609
ID924848,924848,0,1.948898315,895.2765623,453.3247287,0,30,30,12.5,1,,13.228471,12,0,37,7527,7.247668247,0.697563778,1.500027291
ID924871,924871,0,1.897316933,888.8394739,460.5587288,0,34,34,12.5,1,,12.48681898,11,0,37,7105,7.27722561,0.708150162,1.422706399
ID924987,924987,0,2.154484749,889.7703595,462.3073935,0,35,35,12.5,1,,15.18101933,13,0,44,8638,7.902615342,0.659526566,1.526891475
ID925014,925014,0,1.90540123,888.9558311,472.5031188,0,38,38,12.5,1,,13.04745167,11,0,38,7424,7.191999517,0.670708282,1.456595911
