LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID336821,336821,47,0.24643099308013916,687.7083548670056,627.3387430718268,0,0,0,12.5,1,,1.492091388400703,1,0,14,849,2.4979619901650834,0.637123725,0.46492389648302257
ID337023,337023,47,0.23870772123336792,687.6865708591736,627.6183696048953,0,1,1,12.5,1,,1.4780316344463973,0,0,14,841,2.375037210765053,0.650341592,0.4904683545587466
ID336620,336620,47,0.22680431604385376,687.3210699362671,627.7421518138162,0,2,2,12.5,1,,1.3550087873462215,0,0,13,771,2.2721089915074106,0.5421024052378478,0.4192866807477331
ID336551,336551,47,0.23223143815994263,687.4113032,626.7824686760148,0,3,3,12.5,1,,1.3532513181019332,0,0,12,770,2.4015826959592346,0.5767266444566205,0.4122156899979335
ID336756,336756,47,0.20736724138259888,687.4906985605239,628.4334128507261,0,4,4,12.5,1,,1.328646748681898,0,0,12,756,2.405079373377799,0.5191308158739918,0.3775650159686383
ID336891,336891,47,0.21745067834854126,687.6780588687973,628.7450375286556,0,5,5,12.5,1,,1.4130052724077329,0,0,13,804,2.5349472037256255,0.6110416802556912,0.42283304263658117
ID336959,336959,47,0.2181912660598755,687.1522538271118,627.105948,0,6,6,12.5,1,,1.2724077328646748,0,0,12,724,2.353741702582358,0.44749300049852336,0.3342468073995531
ID336689,336689,47,0.19980746507644653,688.0227328363673,628.1330862,0,7,7,12.5,1,,1.376098418,0,0,12,783,2.265601208369914,0.5312761207284552,0.42146625646945746
ID337091,337091,47,0.23370987176895142,686.8894238165333,629.8894508870454,0,8,8,12.5,1,,1.3339191564147628,0,0,13,759,2.3212715676189006,0.585283735,0.42431951384808303
ID337222,337222,47,0.28480303287506104,687.7655443992785,628.6466549,0,9,9,12.5,1,,1.5413005272407734,0,0,14,877,2.5158929467955584,0.6681272835683385,0.4907442122342028
ID337155,337155,47,0.25500059127807617,688.0930868,627.7188755150027,0,10,10,12.5,1,,1.569420035149385,1,0,14,893,2.3465242158228277,0.5415057475720955,0.4698963482730313
ID337292,337292,47,0.21376025676727295,688.1957903743984,627.8993739,0,11,11,12.5,1,,1.4094903339191565,1,0,12,802,2.1711896979701923,0.5553124425929702,0.46356867996999296
ID337422,337422,47,0.2348339557647705,687.2200253965358,628.1714406339045,0,12,12,12.5,1,,1.5272407732864675,1,0,11,869,2.305011292025005,0.5184219507200873,0.45243412771756364
ID337357,337357,47,0.23855936527252197,688.5581661412473,627.3659958289022,0,13,13,12.5,1,,1.4393673110720562,0,0,11,819,2.267404583,0.5992575689195976,0.4757378704544913
ID337547,337547,47,0.20532959699630737,687.7282539320956,626.9438082235217,0,14,14,12.5,1,,1.3462214411247804,0,0,11,766,2.2134330514864655,0.47132416248422015,0.38966504191858137
ID337485,337485,47,0.24193024635314941,687.7909052765266,626.8980464643016,0,15,15,12.5,1,,1.5026362038664323,0,0,14,855,2.451733378514225,0.5786664615118308,0.4493125340844945
ID337610,337610,47,0.2308301329612732,688.2072883404539,627.9191640176476,0,16,16,12.5,1,,1.4586994727592266,0,0,13,830,2.3539296772353753,0.5943872286941677,0.4620383239471237
ID338007,338007,47,0.18796300888061523,688.4152908458266,627.7387346,0,17,17,12.5,1,,1.3637961335676625,1,0,11,776,2.1303037376635614,0.4763532364775442,0.41312051407258943
ID337679,337679,47,0.2339954376220703,688.4772730338419,627.5944038,0,18,18,12.5,1,,1.4569420035149385,0,0,12,829,2.2294425024275646,0.590598393,0.48529711
ID337876,337876,47,0.24240410327911377,687.9025216633072,628.1416134018658,0,19,19,12.5,1,,1.414762741652021,0,0,12,805,2.2805500297795884,0.5422408067428133,0.4362284771924827
ID337745,337745,47,0.22547829151153564,687.2295012,628.4056054116013,0,20,20,12.5,1,,1.4411247803163445,0,0,14,820,2.3595317929491153,0.5070751838494839,0.411001291
ID337808,337808,47,0.26944994926452637,687.1981400508527,628.1219445591825,0,21,21,12.5,1,,1.5676625659050967,1,0,15,892,2.463695906507248,0.5857658478263764,0.47008941099945617
ID337942,337942,47,0.25366926193237305,688.8421579,627.2466121467612,0,22,22,12.5,1,,1.571177504393673,1,0,14,894,2.2887382398956517,0.6049650239309946,0.5175160416980121
ID338070,338070,47,0.21981877088546753,687.3654846885798,627.8603937700078,0,23,23,12.5,1,,1.2478031634446398,0,0,13,710,2.2727952301890815,0.5129509382762465,0.3722774686749566
ID338136,338136,47,0.24041712284088135,687.1306331891743,626.7317976522543,0,24,24,12.5,1,,1.444639718804921,0,0,14,822,2.483929386209113,0.48080836276164424,0.3776795376498181
ID338203,338203,47,0.268105149,687.6413893293998,627.5562666458142,0,25,25,12.5,1,,1.5166959578207382,0,0,15,863,2.5667467861255306,0.6046348629139545,0.4453100116195768
