LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID531817,531817,28,0.13448357582092285,1214.6852980794667,11.36310259746675,0,62,62,15,1,,0.8384512683578104,0,0,15,628,1.5901823641220634,0.612693306,0.40063809432694153
ID532062,532062,28,0.14646148681640625,1215.8639028444093,24.544852778205907,0,63,63,15,1,,0.9813084112149533,1,0,10,735,1.4541744804050296,0.42318059299191374,0.40131438582606427
ID531935,531935,28,0.1700267195701599,1217.280723064335,28.18706892501121,0,64,64,15,1,,1.034712950600801,0,0,11,775,1.6997551975692289,0.49154238604791123,0.40122582290015435
ID532163,532163,28,0.131439209,1216.0413100031792,38.94224615108797,0,65,65,15,1,,0.8317757009345794,0,0,9,623,1.4445193019803486,0.30898977811353046,0.2718446138485815
ID533039,533039,28,0.11896806955337524,1222.4769909307518,97.92046418976109,0,73,73,15,1,,0.9586114819759679,0,0,16,718,1.7094096910629941,0.3829397450281451,0.31056581229428126
ID533372,533372,28,0.14457136392593384,1220.4171385113311,100.00559921004111,0,74,74,15,1,,1.1535380507343125,0,0,15,864,1.7084811734424858,0.4794192376647935,0.43759859426416425
ID533721,533721,28,0.13085108995437622,1222.7537516923674,144.2236534931709,0,79,79,15,1,,0.8491321762349799,0,0,19,636,1.8046108265163092,0.43088918738849946,0.283387917
ID533828,533828,28,0.13896548748016357,1216.649684214808,147.5911522377026,0,80,80,15,1,,1.0654205607476634,1,0,20,798,1.8163673539061518,0.4158732488589179,0.34457517905518725
ID533939,533939,28,0.15728139877319336,1217.6607352128865,154.94056032058145,0,81,81,15,1,,1.0801068090787718,1,0,24,809,2.0472995097674938,0.5119677625841923,0.35728550803271536
ID534042,534042,28,0.16640734672546387,1218.7516679113921,159.50605673274384,0,82,82,15,1,,1.0560747663551402,0,0,21,791,2.2010099953771487,0.42653024921242444,0.28692705309658145
ID534165,534165,28,0.17841053009033203,1219.3658608658266,167.30671559517333,0,83,83,15,1,,1.1495327102803738,0,0,24,861,2.373328947,0.5253277115293017,0.33362650324778514
ID534268,534268,28,0.2030910849571228,1219.072758244696,171.54890574125344,0,84,84,15,1,,1.2216288384512684,0,0,24,915,2.5592470517088812,0.6138814650965062,0.3631365368020973
ID534370,534370,28,0.18380576372146606,1218.8034317171857,178.87737578570062,0,85,85,15,1,,1.0587449933244326,0,0,25,793,2.518226399324262,0.4848973866623089,0.27458701339849917
ID534482,534482,28,0.15314823389053345,1217.188017701197,185.15358063068715,0,86,86,15,1,,1.1201602136181577,0,0,21,839,2.3962943709538678,0.37352865449555683,0.2542471952085539
