LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID362295,362295,158,0.24975883960723877,705.1706082748372,394.8241160641433,0,0,0,10,1,,1.4412607449856734,0,0,18,503,2.5630250206600276,0.35648345578529683,0.29555927044034863
ID362992,362992,158,0.28801000118255615,705.0427678414276,394.7693087187849,0,1,1,10,1,,1.2779369627507164,0,0,18,446,2.618479923726247,0.5676874619517748,0.35345977481447377
ID363174,363174,158,0.27102863788604736,704.7497243,394.5957203731308,0,2,2,10,1,,1.4212034383954155,0,0,19,496,2.7032776479354137,0.4194087807989519,0.3106888180102551
ID362820,362820,158,0.28942251205444336,705.3940923469328,394.66365941916865,0,3,3,10,1,,1.4555873925501432,0,0,19,508,2.7577277026819442,0.4056521346566561,0.3046441257936911
ID363355,363355,158,0.27509117126464844,705.3014895873288,395.5261955902439,0,4,4,10,1,,1.3495702005730659,0,0,18,471,2.511669566273383,0.4769724828411309,0.3470434828256564
ID363535,363535,158,0.3042234182357788,705.0451505024641,395.0535583136815,0,5,5,10,1,,1.4355300859598854,0,0,18,501,2.5278900763910555,0.5923794935618207,0.4225105420591033
ID362471,362471,158,0.2726060152053833,705.0532845186161,395.4599116371039,0,6,6,10,1,,1.338108883,0,0,18,467,2.6338333323491234,0.42179156031729054,0.3014359967060142
ID362644,362644,158,0.30652356147766113,704.6880585999296,394.0505816055945,0,7,7,10,1,,1.7335243553008597,1,0,19,605,2.797894202523446,0.42013256738842236,0.36659464431305977
ID363883,363883,158,0.29342949390411377,704.0692112,393.90998925690343,0,8,8,10,1,,1.667621776504298,1,0,17,582,2.567169002,0.49773468636354823,0.43175374426425595
ID364057,364057,158,0.28880953788757324,705.1905003705014,395.64003576661696,0,9,9,10,1,,1.4154727793696276,0,0,17,494,2.4674644059849946,0.5780191373595447,0.4202527585117408
ID364236,364236,158,0.29227352142333984,704.8604697,394.9064815890403,0,10,10,10,1,,1.3810888252148996,0,0,18,482,2.6836644970808106,0.5364590251029352,0.35936763317370524
ID363705,363705,158,0.3342599868774414,705.4294966898116,394.98629496363776,0,11,11,10,1,,1.679083094555874,0,0,21,586,3.0095906596209643,0.5111519615775473,0.3774301997388181
ID364412,364412,158,0.2539632320404053,704.7212385621967,394.6216586583426,0,12,12,10,1,,1.5616045845272206,0,0,18,545,2.6140235762116646,0.3847819903339248,0.33198992236455016
ID364584,364584,158,0.2886524200439453,704.6409690529181,395.38210548816227,0,13,13,10,1,,1.326647564469914,0,0,18,463,2.624356613901114,0.5124019795940455,0.34253603962768914
ID364762,364762,158,0.2694544792175293,704.8186869857981,394.4516992090858,0,14,14,10,1,,1.472779369627507,0,0,19,514,2.600282590749912,0.5178200297074615,0.3864610282199829
ID364938,364938,158,0.2987881898880005,705.3460624117541,394.1484834,0,15,15,10,1,,1.6303724928366763,1,0,20,569,2.7943487981420563,0.42702751702187663,0.3491883402637016
ID365280,365280,158,0.28502988815307617,705.9489786460662,395.42576019592065,0,16,16,10,1,,1.2636103151862463,0,0,17,441,2.458709508138473,0.5775766859597485,0.3763181044645466
ID365457,365457,158,0.26122164726257324,704.9301881489436,394.5310936448691,0,17,17,10,1,,1.4527220630372493,0,0,18,507,2.5621414321824774,0.4326483192401152,0.34245605929356115
ID365110,365110,158,0.3118932247161865,705.1516450657414,394.61922580440836,0,18,18,10,1,,1.6389684813753582,1,0,19,572,2.7483067036831006,0.5700708955995122,0.43305694341081885
ID365628,365628,158,0.27789390087127686,705.4322749447134,394.88361017845153,0,19,19,10,1,,1.4699140401146131,0,0,19,513,2.7443432402263177,0.4825406543283131,0.3486669660171088
ID365794,365794,158,0.28703129291534424,704.5038437513265,394.29792081539034,0,20,20,10,1,,1.6389684813753582,1,0,19,572,2.7209859334721207,0.4631203588254706,0.38131871470625855
ID366131,366131,158,0.29619157314300537,704.9429895683718,395.3056903767972,0,21,21,10,1,,1.487106017191977,0,0,19,519,2.8512912869603255,0.4233978224593982,0.31027919970285034
ID365959,365959,158,0.29047393798828125,705.0403648591642,395.1119923085011,0,22,22,10,1,,1.5415472779369628,1,0,18,538,2.5678424485218683,0.5451300180508539,0.42359764615579093
ID366306,366306,158,0.3115963935852051,705.0336961669934,395.2754451970445,0,23,23,10,1,,1.5616045845272206,0,0,20,545,2.837518292731894,0.47542119847733877,0.3546703834723695
ID366475,366475,158,0.2956434488296509,704.1500319967614,393.83278039975943,0,24,24,10,1,,1.5931232091690544,1,0,18,556,2.523580456609771,0.5452223132182504,0.44549707310356945
ID366644,366644,158,0.23720860481262207,704.7489565559498,394.8562998219797,0,25,25,10,1,,1.2893982808022924,0,0,19,450,2.620526167683558,0.43231268005771434,0.29702206896239447
ID366818,366818,158,0.2829223871231079,704.8403691,395.02439709009724,0,26,26,10,1,,1.3638968481375358,0,0,18,476,2.5946369867049603,0.4810408921933086,0.34146788398185157
ID367151,367151,158,0.29738080501556396,705.4939879844453,395.07571357225896,0,27,27,10,1,,1.4355300859598854,0,0,19,501,2.7489807029120885,0.4335237531618933,0.31584834652891025
ID366986,366986,158,0.2922102212905884,704.4304444,394.9665019810197,0,28,28,10,1,,1.6819484240687679,1,0,19,587,2.730045827,0.4712853098458635,0.3946932842149461
ID367490,367490,158,0.31121909618377686,704.9827658,395.63693666201647,0,29,29,10,1,,1.512893982808023,0,0,18,528,2.6798481563377625,0.5369337194995427,0.394451711
ID367320,367320,158,0.30242931842803955,704.5649942589049,394.30636921192774,0,30,30,10,1,,1.5959885386819483,1,0,19,557,2.6963333894373487,0.5041645879877664,0.39679222354418164
ID367663,367663,158,0.32176172733306885,705.0115832,395.1503125631239,0,31,31,10,1,,1.6045845272206303,0,0,20,560,2.8774952513799077,0.4600684014402782,0.3514205741120854
ID367823,367823,158,0.23839175701141357,704.9187118975531,394.3600120873062,0,32,32,10,1,,1.6361031518624642,1,0,18,571,2.481416621428017,0.3650418,0.35264492370976946
ID367982,367982,158,0.29906404,705.0536879888682,394.72358150570165,0,33,33,10,1,,1.332378223495702,0,0,18,465,2.6148581454648223,0.5493414780197172,0.3613305082461881
ID368289,368289,158,0.2693619728088379,705.1960714011676,394.17789125827323,0,34,34,10,1,,1.4412607449856734,1,0,19,503,2.6184830681844042,0.4864083834254078,0.36023482
ID368136,368136,158,0.3472553491592407,704.8154394812908,394.80695716578674,0,35,35,10,1,,1.495702005730659,0,0,20,522,2.930832701594778,0.6116230085724957,0.387350748
ID368447,368447,158,0.34840261936187744,704.8167911431549,394.81058523337197,0,36,36,10,1,,1.5673352435530086,0,0,20,547,2.855559017767883,0.5863959642136987,0.40577018306773593
ID368601,368601,158,0.3261868953704834,704.3622150951003,395.0265861146688,0,37,37,10,1,,1.6160458452722064,0,0,19,564,2.7898369247785233,0.4920238620125473,0.3820456430957767
ID368754,368754,158,0.33534085750579834,704.7510214759798,394.6687694858205,0,38,38,10,1,,1.6246418338108883,0,0,19,567,2.825290179496585,0.5550522566530685,0.410500275
ID368900,368900,158,0.30841803550720215,705.2528273,394.96675755898974,0,39,39,10,1,,1.481375358166189,0,0,20,517,2.7746434687751016,0.5286072845529421,0.36925394576245857
ID369506,369506,158,0.3119089603424072,705.7707067840735,394.70039138994434,0,40,40,10,1,,1.6389684813753582,1,0,20,572,2.8164694357186013,0.4367220126293703,0.35377561269243335
