LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID316242,316242,265,0.22781777381896973,449,1079,0,256,256,7.5,1,,0.8416289592760181,0,0,7,186,1.5946743947713486,0.661725888,0.4203367722872714
ID316514,316514,265,0.16629284620285034,449,1079,0,257,257,7.5,1,,0.7239819004524887,0,0,6,160,1.1796819600823116,0.5954674220963173,0.4581026795123221
ID316337,316337,265,0.17350757122039795,450,1079,0,258,258,7.5,1,,0.7963800904977375,0,0,7,176,1.257409140170227,0.5912873728552347,0.47067785420436886
ID317597,317597,265,0.19260650873184204,448,1079,0,271,271,7.5,1,,1.009049773755656,0,0,5,223,1.4269833095355855,0.6872152007565987,0.5760311499089896
ID317694,317694,265,0.18034744262695312,446,1079,0,272,272,7.5,1,,0.8009049773755657,0,0,5,177,1.2849475033573172,0.6901041666666666,0.5090105462001435
ID317785,317785,265,0.1770782470703125,448,1079,0,273,273,7.5,1,,0.6742081447963801,0,0,5,149,1.1957177122498046,0.851192997,0.5185273532780499
ID318533,318533,265,0.2035580277442932,450,1079,0,280,280,7.5,1,,0.7873303167420814,0,0,6,174,1.3228834293571103,0.6793156393946042,0.48150929421044186
ID318446,318446,265,0.18485653400421143,450,1079,0,281,281,7.5,1,,0.7737556561085973,0,0,4,171,1.1415455687265512,0.706896552,0.5614217608118846
ID319150,319150,265,0.21771299839019775,448,1079,0,288,288,7.5,1,,0.746606335,0,0,9,165,1.3879513266798722,0.6582914572864321,0.4270756254928772
ID319232,319232,265,0.17921942472457886,448,1079,0,289,289,7.5,1,,0.6108597285067874,0,0,6,135,1.3825765417765612,0.6049716292893813,0.3330810730850374
ID319503,319503,265,0.18371599912643433,449,1079,0,290,290,7.5,1,,0.7058823529411765,0,0,7,156,1.3847913412581434,0.6387728303688671,0.39737968526493694
ID319325,319325,265,0.22068381309509277,449,1079,0,291,291,7.5,1,,0.751131222,0,0,8,166,1.4195265170832811,0.66,0.4207635860868258
ID319414,319414,265,0.2129443883895874,449,1079,0,292,292,7.5,1,,0.7104072398190046,0,0,8,157,1.3939252349658573,0.7464290228795348,0.4356477459761503
ID319589,319589,265,0.24595242738723755,449,1079,0,293,293,7.5,1,,0.9909502262443439,0,0,10,219,1.634822621,0.6339126748622297,0.47033986705973196
ID319686,319686,265,0.1701400876045227,448,1079,0,294,294,7.5,1,,0.6334841628959276,0,0,7,140,1.2956434294739254,0.7490062464508801,0.41876882145509764
ID319776,319776,265,0.20875060558319092,449,1079,0,295,295,7.5,1,,0.9457013574660633,0,0,5,209,1.3337377694584358,0.5545600540951736,0.5058883027366116
ID319953,319953,265,0.18273687362670898,447,1079,0,297,297,7.5,1,,0.8144796380090498,0,0,5,180,1.2420541364983233,0.6822429906542056,0.5318878338309755
ID320230,320230,265,0.24906349182128906,447,1079,0,298,298,7.5,1,,1.1040723981900453,0,0,7,244,1.6741433831849493,0.7148790032744989,0.5498369935748328
ID320042,320042,265,0.24936747550964355,447,1079,0,299,299,7.5,1,,1.085972850678733,0,0,7,240,1.741690030658707,0.6944801026957638,0.5110947638242354
ID320137,320137,265,0.21124398708343506,446,1079,0,300,300,7.5,1,,1.0180995475113122,0,0,6,225,1.4953376052522764,0.7169614984391258,0.568612317
ID320318,320318,265,0.24930185079574585,446,1079,0,301,301,7.5,1,,1.0769230769230769,0,0,8,238,1.773148596157678,0.8278931750741839,0.5501651004537279
ID320410,320410,265,0.21987593173980713,446,1079,0,302,302,7.5,1,,0.9864253393665159,0,0,5,218,1.469321544142831,0.8462130690020211,0.6154252013817759
ID320505,320505,265,0.23274552822113037,446,1079,0,303,303,7.5,1,,1.1357466063348416,0,0,8,251,1.8190002271602075,0.6027864451055801,0.4696415438056292
