Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID3113,3113,0,2.060,628.685,350.030,0,0,0,7.500,1,-10921639,8.760,6,0,36,1936,8.311,8.794,0.830,0.956
ID3099,3099,0,1.947,628.925,347.977,0,1,1,7.500,1,-10921639,8.353,5,0,39,1846,8.546,8.545,0.831,0.887
ID3091,3091,0,1.849,630.185,345.359,0,2,2,7.500,1,-10921639,8.244,5,0,32,1822,7.842,8.799,0.865,0.975
ID3077,3077,0,1.954,630.098,341.184,0,3,3,7.500,1,-10921639,8.710,6,0,40,1925,8.126,8.752,0.821,0.967
ID3106,3106,0,1.779,630.236,338.470,0,4,4,7.500,1,-10921639,8.312,6,0,35,1837,7.552,8.943,0.810,0.985
ID3084,3084,0,2.065,630.763,336.523,0,5,5,7.500,1,-10921639,8.977,6,0,38,1984,8.709,8.627,0.824,0.931
ID3127,3127,0,2.001,629.736,334.108,0,6,6,7.500,1,-10921639,8.271,5,0,42,1828,8.717,8.868,0.876,0.886
ID3120,3120,0,1.939,628.978,331.754,0,7,7,7.500,1,-10921639,8.140,4,0,39,1799,8.779,8.559,0.775,0.810
ID3141,3141,0,2.079,627.649,327.778,0,8,8,7.500,1,-10921639,8.914,5,0,37,1970,8.955,8.900,0.840,0.909
ID3165,3165,0,1.832,627.186,325.548,0,9,9,7.500,1,-10921639,8.448,6,0,39,1867,7.957,8.684,0.806,0.948
ID3147,3147,0,2.068,626.372,324.013,0,10,10,7.500,1,-10921639,8.814,5,0,49,1948,9.011,8.865,0.799,0.869
ID3135,3135,0,1.762,623.874,322.293,0,11,11,7.500,1,-10921639,8.136,5,0,37,1798,7.794,8.688,0.785,0.918
ID3153,3153,0,1.867,622.809,320.503,0,12,12,7.500,1,-10921639,8.195,5,0,40,1811,8.090,8.650,0.796,0.898
ID3159,3159,0,1.902,620.732,317.255,0,13,13,7.500,1,-10921639,8.267,5,0,40,1827,8.304,8.806,0.821,0.898
ID3171,3171,0,1.797,618.697,316.301,0,14,14,7.500,1,-10921639,7.946,5,0,39,1756,7.726,8.821,0.777,0.900
ID3177,3177,0,2.089,617.700,314.379,0,15,15,7.500,1,-10921639,8.959,6,0,38,1980,8.405,8.936,0.816,0.958
ID3183,3183,0,2.004,615.695,313.663,0,16,16,7.500,1,-10921639,8.652,6,0,37,1912,8.434,9.028,0.817,0.923
ID3197,3197,0,1.963,614.168,313.105,0,17,17,7.500,1,-10921639,8.516,5,0,38,1882,8.050,8.929,0.818,0.952
ID3226,3226,0,1.908,610.213,311.140,0,18,18,7.500,1,-10921639,8.348,6,0,42,1845,7.702,8.896,0.798,0.962
ID3205,3205,0,1.849,608.545,311.705,0,19,19,7.500,1,-10921639,8.213,6,0,29,1815,6.904,13.169,0.830,1.079
ID3212,3212,0,1.676,606.177,310.090,0,20,20,7.500,1,-10921639,7.520,5,0,34,1662,6.554,8.922,0.745,0.980
ID3190,3190,0,1.983,604.211,309.811,0,21,21,7.500,1,-10921639,8.376,6,0,35,1851,7.999,8.772,0.795,0.928
