LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID174393,174393,53,0.38484179973602295,855.5629113899347,471.2239153192514,0,0,0,12.5,1,,2.4305799648506152,1,0,20,1383,3.500379232123624,0.5953312097677508,0.5182419921445856
ID174115,174115,53,0.3577854633331299,851.6667413462286,472.5776355546951,0,1,1,12.5,1,,2.3725834797891037,1,0,23,1350,3.386752438765954,0.5686879713496572,0.5079319380119542
ID173972,173972,53,0.3148585557937622,848.3047313453931,474.4617957208251,0,2,2,12.5,1,,2.024604569420035,1,0,18,1152,3.2807740026383265,0.5718754649853538,0.4490319286146122
ID174044,174044,53,0.31024861335754395,846.9364136067624,478.54758749630145,0,3,3,12.5,1,,2.193321616871705,1,0,18,1248,3.2214987059171016,0.5702575335463679,0.4945093404131985
ID174254,174254,53,0.3172115087509155,844.9764820896439,481.92124250252505,0,4,4,12.5,1,,2.1072056239015815,1,0,20,1199,3.354747649286136,0.58478876,0.4635586497539288
ID174185,174185,53,0.32512593269348145,842.9500092786252,483.1174744745812,0,5,5,12.5,1,,2.140597539543058,1,0,22,1218,3.516248049632342,0.5571824111487004,0.43565572154953536
ID174465,174465,53,0.28823351860046387,840.3683097637339,491.8158116899271,0,6,6,12.5,1,,2.244288224956063,1,0,18,1277,3.2939990082080914,0.5269340532562343,0.47024170957437333
ID174321,174321,53,0.32981693744659424,836.7350598654003,493.70945316667616,0,7,7,12.5,1,,2.353251318101933,1,0,18,1339,3.540011857688203,0.510614568,0.44940005581625037
ID174607,174607,53,0.3416546583175659,836.4272133321863,495.89688231790655,0,8,8,12.5,1,,2.3075571177504393,1,0,26,1313,3.8220029924023544,0.5165162884464559,0.411271273
ID174743,174743,53,0.3272663354873657,833.5418929372746,496.51338135341746,0,9,9,12.5,1,,2.1827768014059754,1,0,24,1242,3.719237960684055,0.5076156754059145,0.39521165140388836
ID174675,174675,53,0.35166943073272705,835.1828825293813,502.36201412015333,0,10,10,12.5,1,,2.4903339191564147,1,0,19,1417,3.318799639971283,0.5552079708524263,0.5357642909225055
ID174885,174885,53,0.4087022542953491,826.2339578152946,506.1314340414157,0,11,11,12.5,1,,2.5606326889279436,1,0,19,1457,3.537066843094864,0.6238748094826744,0.5562613933733457
ID174815,174815,53,0.393710732,823.5499561433397,510.0281735819605,0,12,12,12.5,1,,2.632688927943761,2,0,22,1498,3.445305028,0.6402213976107335,0.5965262735580256
ID174951,174951,53,0.3305950164794922,820.1012217604471,509.69993076642766,0,13,13,12.5,1,,2.469244288224956,1,0,26,1405,3.5671900249878976,0.5251076917205905,0.4766676481994792
ID174540,174540,53,0.38502347469329834,819.9824175384263,513.8939062087551,0,14,14,12.5,1,,2.5131810193321615,2,0,20,1430,3.4869351585483765,0.6502962896734013,0.5680142721160811
ID175023,175023,53,0.37477099895477295,816.2822733727737,514.3300264611079,0,15,15,12.5,1,,2.437609841827768,1,0,19,1387,3.6031175735627947,0.625366444,0.5205938594003929
