LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID180933,180933,55,0.7791965007781982,1089.7118557725441,416.62424826627813,0,0,0,10,1,,4.234957020057307,1,0,47,1478,7.273936609953284,0.7600676246425824,0.5028429555056304
ID180832,180832,55,0.7995331287384033,1089.8768234824463,416.17317131074344,0,1,1,10,1,,4.197707736389685,1,0,48,1465,7.031406999001045,0.7355703668196495,0.5060366302168919
ID181032,181032,55,0.760648251,1090.066579693032,416.32061806284554,0,2,2,10,1,,4.103151862464183,0,0,48,1432,7.099515633,0.7465670766316298,0.4940858669466904
ID180643,180643,55,0.7424933910369873,1089.957289836778,416.01562771983697,0,3,3,10,1,,4.0687679083094554,1,0,47,1420,7.041002567514711,0.7807312818427279,0.506712483
ID180738,180738,55,0.7770938873291016,1089.998744800513,416.2379443984117,0,4,4,10,1,,4.0945558739255015,1,0,44,1429,6.850597686853881,0.7753678506743304,0.52206884
ID180361,180361,55,0.7659375667572021,1089.7805497037177,416.2160714670226,0,5,5,10,1,,4.051575931232092,1,0,47,1414,6.983369331629807,0.7593392096899924,0.5008125587632332
ID180545,180545,55,0.7858359813690186,1089.2234540846175,416.2041255370391,0,6,6,10,1,,4.148997134670487,1,0,48,1448,6.980731310081703,0.7184680672584318,0.4969791996087977
ID180455,180455,55,0.7272963523864746,1089.4620957563602,416.3369874570007,0,7,7,10,1,,3.982808022922636,1,0,46,1390,7.250029101831711,0.7441126560415431,0.46875269406386605
ID181324,181324,55,0.7436654567718506,1089.742964348197,416.03016364154416,0,8,8,10,1,,4.074498567335244,1,0,47,1422,7.259964028371294,0.7582427404668001,0.48405991954593935
ID181134,181134,55,0.6997270584106445,1089.796074038307,415.9530112396178,0,9,9,10,1,,3.977077363896848,1,0,49,1388,7.022094977,0.720687928,0.47443035808287554
ID181603,181603,55,0.7514793872833252,1089.563898575959,416.2423505658888,0,10,10,10,1,,4.037249283667622,1,0,46,1409,6.8641404848476855,0.7547511663005111,0.5059617097321454
ID181511,181511,55,0.7604615688323975,1089.4406538524895,416.39392997092006,0,11,11,10,1,,4.011461318051576,0,0,49,1400,7.3808454634252385,0.7061973237272042,0.4499075725535784
ID181413,181413,55,0.7367184162139893,1089.7902631489553,416.2283927436098,0,12,12,10,1,,4.117478510028653,1,0,47,1437,7.182790612299674,0.7642508123246539,0.4966423078945478
ID181699,181699,55,0.7763895988464355,1089.616704804492,416.1982838968474,0,13,13,10,1,,4.169054441260745,1,0,44,1455,7.150481413735519,0.7578517328882441,0.5027294030301899
ID181229,181229,55,0.7196335792541504,1089.4817491424649,416.2539349364532,0,14,14,10,1,,3.9598853868194843,1,0,44,1382,7.057530093546099,0.7630779753586749,0.4856878861767577
ID181793,181793,55,0.707834005,1089.4887118616416,416.28041095134876,0,15,15,10,1,,3.8137535816618913,1,0,44,1331,6.857518313636657,0.7244352752713951,0.4672704736764418
ID182062,182062,55,0.7420721054077148,1089.7284543609503,416.39118315652223,0,16,16,10,1,,4.005730659025788,0,0,44,1398,7.017627341342629,0.7993103372524494,0.5071434171867134
ID181877,181877,55,0.6946730613708496,1089.5576046060496,416.50049348331316,0,17,17,10,1,,4.042979942693409,1,0,43,1411,6.841043163,0.7523830424761073,0.5074803242070112
ID182153,182153,55,0.6780855655670166,1090.1029126777323,416.11081818001827,0,18,18,10,1,,3.8080229226361033,1,0,42,1329,6.730044477277972,0.7539765409261723,0.48645835662820425
ID181969,181969,55,0.7148337364196777,1089.602652,416.50552681523976,0,19,19,10,1,,3.985673352,1,0,43,1391,6.978812015369686,0.7238223217618515,0.4796115912273579
ID182426,182426,55,0.717827559,1089.3672586987852,416.3300562522759,0,20,20,10,1,,4.077363896848137,1,0,44,1423,6.974689704873437,0.7410533970802847,0.4976476862636108
ID182336,182336,55,0.7554445266723633,1089.2710223736944,416.50702000385394,0,21,21,10,1,,4.137535816618911,1,0,43,1444,6.990017159303897,0.7648815056831254,0.5130646914891047
ID182247,182247,55,0.7448503971099854,1089.2859299962927,416.4874188852329,0,22,22,10,1,,4.088825214899713,1,0,43,1427,6.995533554194998,0.7167228321919048,0.4880437486675548
ID182514,182514,55,0.7075121402740479,1089.5246519994491,416.2367307864782,0,23,23,10,1,,3.988538681948424,1,0,42,1392,6.881165815,0.7387070984490073,0.49252425863727306
ID182691,182691,55,0.6810986995697021,1089.8652169169643,416.2884463160193,0,24,24,10,1,,4.014326648,1,0,43,1401,6.902216944943395,0.7214370351819858,0.4874851487325667
ID182599,182599,55,0.700615644,1089.7536806270664,416.5855535965245,0,25,25,10,1,,3.945558739255014,0,0,43,1377,6.916572970431537,0.7458780996995773,0.4874179112852843
ID182784,182784,55,0.151503325,1072.1547067244824,501.5298897288869,0,26,26,10,1,,1.011461318051576,0,0,17,353,2.7501066618436187,0.44700413414466017,0.2272330531695411
ID182869,182869,55,0.14850449562072754,1071.7176501422134,504.6051153640218,0,28,28,10,1,,1.2263610315186246,0,0,19,428,3.1890245862662177,0.4668125606457873,0.24477011006754967
ID183228,183228,55,0.21096312999725342,1070.0101409974543,501.4644616425007,0,29,29,10,1,,1.343839541547278,0,0,23,469,3.2220233768310504,0.5094346938874429,0.2815288554757854
ID182963,182963,55,0.16980350017547607,1078.2423913206578,495.49550512525724,0,30,30,10,1,,1.0601719197707737,0,0,15,370,2.7531259087098134,0.42123835785495284,0.22826599036102832
ID183142,183142,55,0.2841765284538269,1080.5020948210572,495.5910744643024,0,31,31,10,1,,1.2550143266475644,0,0,20,438,3.5984925503398824,0.5005985222691561,0.23269289353886602
ID183316,183316,55,0.26127272844314575,1082.0046837309117,495.3265487557001,0,32,32,10,1,,1.2607449856733524,0,0,26,440,3.725213951390094,0.5223379754266638,0.23224509186465406
ID183407,183407,55,0.18965274095535278,1085.3594918648714,495.3623274884686,0,33,33,10,1,,1.143266475644699,0,0,22,399,3.221174857,0.3923066547313951,0.20001102711856739
ID183497,183497,55,0.2972475290298462,1085.0626259907476,494.9523538306783,0,34,34,10,1,,1.4527220630372493,0,0,18,507,3.611312810150756,0.4795264666802419,0.26075777309667925
ID183756,183756,55,0.2028147578239441,1090.1549482239707,491.0246484480818,0,35,35,10,1,,1.2148997134670487,0,0,17,424,2.924766677740987,0.47742427528879994,0.26845930786229205
ID183584,183584,55,0.21579492092132568,1093.0299133787871,489.9189427372237,0,36,36,10,1,,1.4412607449856734,0,0,21,503,3.1659311813485593,0.4711748537599549,0.2916009233769275
ID183837,183837,55,0.21577668190002441,1094.9553397724287,488.89467827779856,0,37,37,10,1,,1.2492836676217765,0,0,16,436,3.090266663026316,0.5707847123251995,0.2937993075604865
ID183669,183669,55,0.1999559998512268,1096.9730899168942,487.2664081127522,0,38,38,10,1,,1.2664756446991403,0,0,16,442,3.138662210920672,0.5892679862672966,0.29922506617106176
ID183922,183922,55,0.2902441620826721,1099.4428922125285,486.6513631083672,0,39,39,10,1,,1.2578796561604584,0,0,18,439,3.257524812647783,0.7035723886964618,0.3189551005470016
ID184004,184004,55,0.1912124752998352,1101.9319721607078,481.71669358220635,0,40,40,10,1,,1.4154727793696276,0,0,17,494,3.047873032147213,0.5047525842559178,0.3115645945675667
ID184086,184086,55,0.2579726576805115,1102.1562090390057,479.5779443576465,0,41,41,10,1,,1.4355300859598854,0,0,17,501,3.2746849576180166,0.5705156147956976,0.31849164677936814
ID184177,184177,55,0.2625420093536377,1105.3369678572355,477.3352893107833,0,42,42,10,1,,1.5415472779369628,0,0,21,538,3.383805059324671,0.5282129381668221,0.31492466167415956
